article_id,cluster
politifact9033,4
politifact9691,4
politifact6612,4
politifact13260,4
politifact13052,4
politifact1053,4
politifact7506,4
politifact772,4
politifact329,4
politifact5632,4
politifact13431,4
politifact6641,4
politifact6473,4
politifact5659,4
politifact514,4
politifact12924,4
politifact6646,4
politifact12120,4
politifact8989,4
politifact1038,4
politifact513,4
politifact4588,4
politifact179,4
politifact7563,4
politifact11552,4
politifact1204,4
politifact8987,4
politifact374,0
politifact787,0
politifact773,0
politifact2624,0
politifact3198,0
politifact546,0
politifact10877,0
politifact5439,0
politifact310,0
politifact780,0
politifact1436,0
politifact6277,0
politifact1052,0
politifact114,0
politifact8310,0
politifact5868,0
politifact319,0
politifact1256,0
politifact11960,0
politifact3539,0
politifact1251,0
politifact1063,0
politifact3734,0
politifact910,0
politifact4181,0
politifact548,0
politifact11761,0
politifact943,0
politifact1202,0
politifact12587,0
politifact1454,0
politifact2028,0
politifact3335,0
politifact14474,0
politifact512,0
politifact720,0
politifact12748,0
politifact986,0
politifact6472,0
politifact1465,0
politifact12770,0
politifact343,0
politifact2019,0
politifact15175,0
politifact13420,0
politifact551,0
politifact3527,0
politifact6267,0
politifact6603,0
politifact1614,0
politifact11189,0
politifact5276,0
politifact1279,0
politifact336,0
politifact938,0
politifact104,0
politifact7714,0
politifact567,0
politifact8737,0
politifact1488,0
politifact954,0
politifact1027,0
politifact4555,0
politifact998,0
politifact396,0
politifact1823,0
politifact150,0
politifact14036,0
politifact1212,0
politifact502,0
politifact6657,0
politifact7923,0
politifact1678,0
politifact6234,0
politifact3341,0
politifact14064,0
politifact2258,0
politifact7376,0
politifact3180,0
politifact10408,0
politifact8557,0
politifact939,0
politifact568,0
politifact4358,0
politifact937,0
politifact339,0
politifact13283,0
politifact7511,0
politifact6408,0
politifact134,0
politifact736,0
politifact160,0
politifact997,0
politifact3581,0
politifact2205,0
politifact11580,0
politifact503,0
politifact1028,0
politifact535,0
politifact13682,0
politifact5011,0
politifact11777,0
politifact1213,0
politifact1825,3
politifact390,3
politifact700,3
politifact1026,3
politifact11314,3
politifact11770,3
politifact4130,3
politifact1442,3
politifact440,3
politifact95,3
politifact1361,3
politifact4879,3
politifact681,3
politifact8227,3
politifact211,3
politifact66,3
politifact3632,3
politifact10371,3
politifact2714,3
politifact14984,3
politifact7259,3
politifact1350,3
politifact3251,3
politifact14174,3
politifact57,3
politifact13305,3
politifact9151,3
politifact287,3
politifact8621,3
politifact7669,3
politifact13130,3
politifact12486,3
politifact245,3
politifact15453,3
politifact35,3
politifact4411,3
politifact14511,3
politifact69,3
politifact810,3
politifact10348,3
politifact1500,3
politifact7293,3
politifact6173,3
politifact642,3
politifact51,3
politifact3892,3
politifact12418,3
politifact7258,3
politifact13395,3
politifact674,3
politifact8470,3
politifact228,3
politifact2724,3
politifact6519,3
politifact14940,3
politifact4088,3
politifact673,3
politifact8221,3
politifact4028,3
politifact627,3
politifact8611,3
politifact288,3
politifact412,3
politifact620,3
politifact13138,3
politifact2128,3
politifact7668,3
politifact3693,3
politifact12017,3
politifact13303,3
politifact3455,3
politifact8085,3
politifact8071,3
politifact423,3
politifact13136,3
politifact401,3
politifact20,3
politifact439,3
politifact8259,3
politifact6939,3
politifact1576,3
politifact3221,3
politifact13548,3
politifact3228,3
politifact2594,3
politifact13310,3
politifact4809,3
politifact408,3
politifact5321,3
politifact15645,3
politifact261,3
politifact497,3
politifact669,3
politifact12057,3
politifact73,3
politifact87,3
politifact3281,3
politifact499,3
politifact667,3
politifact74,3
politifact4291,3
politifact2166,3
politifact409,3
politifact6556,1
politifact2592,1
politifact258,1
politifact6931,1
politifact12801,1
politifact6907,1
politifact2964,1
politifact7618,1
politifact7872,1
politifact4069,1
politifact8805,1
politifact1140,1
politifact695,1
politifact1375,1
politifact498,1
politifact834,1
politifact6998,1
politifact11627,1
politifact14167,1
politifact6730,1
politifact7888,1
politifact14731,1
politifact1185,1
politifact10533,1
politifact462,1
politifact1176,1
politifact6645,1
politifact379,1
politifact948,1
politifact528,1
politifact15133,1
politifact9438,1
politifact1467,1
politifact341,1
politifact348,1
politifact5237,1
politifact979,1
politifact377,1
politifact1690,1
politifact11931,1
politifact384,1
politifact370,1
politifact2816,1
politifact13058,1
politifact129,1
politifact12945,1
politifact323,1
politifact581,1
politifact8118,1
politifact10423,1
politifact4177,1
politifact9802,1
politifact13855,1
politifact785,1
politifact1068,1
politifact8778,1
politifact118,1
politifact12148,1
politifact2048,1
politifact312,1
politifact12721,1
politifact4787,1
politifact1201,1
politifact527,1
politifact4926,1
politifact13469,1
politifact385,1
politifact7595,1
politifact2013,1
politifact8172,1
politifact5690,1
politifact12773,1
politifact186,1
politifact340,1
politifact5469,1
politifact516,1
politifact724,1
politifact8371,1
politifact181,1
politifact5608,1
politifact2881,1
politifact783,1
politifact1899,1
politifact10413,1
politifact1435,1
politifact1051,1
politifact13068,1
politifact6842,1
politifact4372,1
politifact11709,1
politifact746,1
politifact574,1
politifact12944,1
politifact11399,1
politifact2281,1
politifact4720,1
politifact8119,1
politifact779,1
politifact3192,1
politifact128,1
politifact1255,1
politifact1067,1
politifact7390,1
