article_id,cluster
politifact9576,8
politifact230,8
politifact11416,16
politifact2393,8
politifact11072,17
politifact1770,8
politifact10332,7
politifact6932,18
politifact600,8
politifact10903,19
politifact1783,17
politifact1313,17
politifact11021,8
politifact263,8
politifact5778,17
politifact2139,17
politifact435,17
politifact1741,2
politifact7489,14
politifact8069,6
politifact1779,8
politifact636,17
politifact320,4
politifact582,17
politifact10276,8
politifact1866,17
politifact6871,17
politifact1892,17
politifact9033,8
politifact9691,8
politifact6612,8
politifact13260,11
politifact13052,0
politifact1053,8
politifact7506,8
politifact772,8
politifact329,17
politifact5632,8
politifact13431,11
politifact6641,15
politifact6473,8
politifact5659,17
politifact514,5
politifact12924,17
politifact6646,17
politifact12120,7
politifact8989,8
politifact1038,8
politifact513,6
politifact4588,8
politifact179,8
politifact7563,16
politifact11552,19
politifact1204,8
politifact8987,14
politifact374,17
politifact787,17
politifact773,14
politifact2624,4
politifact3198,8
politifact546,5
politifact10877,8
politifact5439,8
politifact310,14
politifact780,5
politifact1436,8
politifact6277,1
politifact1052,8
politifact114,8
politifact8310,8
politifact5868,6
politifact319,4
politifact1256,13
politifact11960,8
politifact3539,8
politifact1251,17
politifact1063,8
politifact3734,6
politifact910,13
politifact4181,8
politifact548,8
politifact11761,8
politifact943,8
politifact1202,17
politifact12587,12
politifact1454,2
politifact2028,1
politifact3335,2
politifact14474,8
politifact512,6
politifact720,17
politifact12748,8
politifact986,8
politifact6472,6
politifact1465,17
politifact12770,8
politifact343,8
politifact2019,17
politifact15175,8
politifact13420,4
politifact551,17
politifact3527,9
politifact6267,1
politifact6603,17
politifact1614,17
politifact11189,8
politifact5276,8
politifact1279,17
politifact336,5
politifact938,8
politifact104,8
politifact7714,12
politifact567,8
politifact8737,15
politifact1488,17
politifact954,0
politifact1027,8
politifact4555,12
politifact998,17
politifact396,8
politifact1823,10
politifact150,8
politifact14036,11
politifact1212,4
politifact502,8
politifact6657,15
politifact7923,14
politifact1678,8
politifact6234,17
politifact3341,8
politifact14064,8
politifact2258,8
politifact7376,15
politifact3180,17
politifact10408,8
politifact8557,12
politifact939,8
politifact568,8
politifact4358,17
politifact937,18
politifact339,17
politifact13283,19
politifact7511,8
politifact6408,8
politifact134,8
politifact736,8
politifact160,14
politifact997,8
politifact3581,17
politifact2205,9
politifact11580,17
politifact503,8
politifact1028,8
politifact535,5
politifact13682,8
politifact5011,8
politifact11777,17
politifact1213,8
politifact1825,17
politifact390,5
politifact700,17
politifact1026,8
politifact11314,8
politifact11770,16
politifact4130,2
politifact1442,8
politifact440,8
politifact95,8
politifact1361,18
politifact4879,17
politifact681,0
politifact8227,8
politifact211,12
politifact66,8
politifact3632,8
politifact10371,3
politifact2714,4
politifact14984,8
politifact7259,16
politifact1350,17
politifact3251,12
politifact14174,14
politifact57,8
politifact13305,0
politifact9151,16
politifact287,8
politifact8621,8
politifact7669,16
politifact13130,8
politifact12486,12
politifact245,7
politifact15453,8
politifact35,8
politifact4411,12
politifact14511,11
politifact69,16
politifact810,17
politifact10348,8
politifact1500,17
politifact7293,8
politifact6173,14
politifact642,8
politifact51,0
politifact3892,1
politifact12418,8
politifact7258,17
politifact13395,16
politifact674,8
politifact8470,7
politifact228,19
politifact2724,8
politifact6519,18
politifact14940,17
politifact4088,8
politifact673,8
politifact8221,8
politifact4028,8
politifact627,5
politifact8611,8
politifact288,4
politifact412,17
politifact620,4
politifact13138,11
politifact2128,17
politifact7668,16
politifact3693,9
politifact12017,4
politifact13303,8
politifact3455,9
politifact8085,17
politifact8071,6
politifact423,5
politifact13136,11
politifact401,1
politifact20,8
politifact439,8
politifact8259,17
politifact6939,18
politifact1576,4
politifact3221,17
politifact13548,11
politifact3228,0
politifact2594,8
politifact13310,11
politifact4809,8
politifact408,17
politifact5321,18
politifact15645,13
politifact261,8
politifact497,8
politifact669,8
politifact12057,8
politifact73,8
politifact87,8
politifact3281,9
politifact499,8
politifact667,14
politifact74,8
politifact4291,8
politifact2166,9
politifact409,17
politifact6556,8
politifact2592,17
politifact258,5
politifact6931,17
politifact12801,16
politifact6907,17
politifact2964,17
politifact7618,17
politifact7872,8
politifact4069,17
politifact8805,8
politifact1140,13
politifact695,2
politifact1375,8
politifact498,8
politifact834,5
politifact6998,17
politifact11627,11
politifact14167,16
politifact6730,18
politifact7888,17
politifact14731,8
politifact1185,1
politifact10533,10
politifact462,17
politifact1176,17
politifact6645,8
politifact379,5
politifact948,8
politifact528,5
politifact15133,8
politifact9438,8
politifact1467,17
politifact341,1
politifact348,10
politifact5237,8
politifact979,17
politifact377,5
politifact1690,8
politifact11931,8
politifact384,8
politifact370,0
politifact2816,9
politifact13058,12
politifact129,8
politifact12945,17
politifact323,17
politifact581,5
politifact8118,12
politifact10423,8
politifact4177,8
politifact9802,8
politifact13855,17
politifact785,8
politifact1068,8
politifact8778,8
politifact118,0
politifact12148,17
politifact2048,12
politifact312,0
politifact12721,8
politifact4787,12
politifact1201,2
politifact527,17
politifact4926,8
politifact13469,11
politifact385,8
politifact7595,16
politifact2013,8
politifact8172,6
politifact5690,17
politifact12773,6
politifact186,0
politifact340,2
politifact5469,1
politifact516,5
politifact724,19
politifact8371,8
politifact181,8
politifact5608,8
politifact2881,9
politifact783,17
politifact1899,17
politifact10413,6
politifact1435,19
politifact1051,17
politifact13068,11
politifact6842,17
politifact4372,8
politifact11709,6
politifact746,5
politifact574,5
politifact12944,12
politifact11399,1
politifact2281,8
politifact4720,4
politifact8119,12
politifact779,17
politifact3192,8
politifact128,10
politifact1255,17
politifact1067,17
politifact7390,8
